[Barlgura]
initiativebase	2
initiative	4,4
hits	68
temphits	0
maxhits	68
status	
picturefile	C:\Users\Omistaja\Dropbox\DD5\pics\barlgura.jpg
location	
size	10
ac	15 (natural armor)
speed	30 ft., climb 30 ft.
hd	8d10
cr	5
abilities	Str:18;Dex:15*;Con:16*;Int:7;Wis:14;Cha:9;
STATS	Skills: Perception +5, Stealth +5\n;Damage Resistance: cold, fire, lightning\n;Damage Immunities: poison\n;Condition Immunities: poisoned\n;Senses: blindsight 30 ft., darkvision 120 ft., passive Perception 15\n;Languages: Abyssal, telepathy 120 ft.
Innate Spellcasting: DC13	Castin ability: Wisdom\n;Requires no material components.\n;1/day each: entangle, phantasmal force\n;2/day each: disguise self, invisibility (self only)
Reckless: Advantages to melee	At the start of its turn, the barlgura can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until stat of its next turn.
Running Leap	The barlgura's long jump is up to 40 ft. and its high jump is up to 20 ft. when it has a running start.
Multiattack: bite + 2 fists	The barlgura makes three attacks: one with its bite and two with its fists.
Attack-Bite	+7;2d6+4;5; piercing damage
Attack-Fist	+7;d10+4;5; bludgeoning damage
