[Earth elemental]
initiativebase	-1
initiative	17,27
hits	126
temphits	0
maxhits	126
status	
picturefile	C:\Documents and Settings\Ville\My Documents\Dropbox\DD5\pics\earth_elemental.jpg
location	
size	10
ac	17 (natural armor)
speed	30 ft., burrow 30 ft.
hd	12d10
cr	5
abilities	Str:20;Dex:8;Con:20;Int:5;Wis:10;Cha:5;
Stats	Damage vulnerabilities thunder\n;Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons\n;Damage Immunities poison\n;Condition Immunities exhaustion, paralyzed, petrified, poisoned, unconscious\n;Senses darkvision 60 ft., tremorsense 60 ft., passive Perception 10\n;Languages Terran\n;\n;An earth elemental plods forward like a walking hill, club-like arms of jagged stone swinging at its sides. Its head and body consist of dirt and stone, occasionally set with chunks of metal, gems, and bright minerals.
Earth Glide	The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.
Siege Monster	The elemental deals double damage to objects and structures.
Multiattack: 2 slams	The elemental makes two slam attacks.
notes	
Attack-Slam	+8;2d8+5;10; bludgeoning damage
