[Gibbering Mouther]
initiativebase	-1
initiative	15,28
hits	67
temphits	0
maxhits	67
status	
picturefile	C:\Users\Omistaja\Dropbox\DD5\pics\gibbering mouther.jpg
location	
size	5
ac	9
speed	
hd	9d8
cr	2
abilities	Str:10;Dex:8;Con:16;Int:3;Wis:10;Cha:6;
notes	
STATS	Condition Immunities: prone\n;Senses: darkvision 60ft., passive perception 10\n;Languages: -\n;\n;MM 157
Aberrant Ground: 10'R dif.ter, DC10 save move 0	The ground in 10-foot radius around the mouther is doughlike difficult terrain. Each creature that start its turn in the area must succeed in DC10 Strength saving throw or have its speed reduced to 0 until start of next round.
Gibbering: 20'R DC10 Wisdom or indecision	The mouther babbles incoherently while it can see any creature and isn't incapacitated. Each creature that starts its turn within 20 feet of mouther and can hear gibbering must succeed on a DC 10 Wisdom saving throw. On failure the creature can't take reactions until start of its next turn and rolls d8 to determine what it does during its turn:\n;1-4: does nothing\n;5-6: takes no action or bonus action and uses all its movement to move in randomly determined direction.\n;7-8: makes a melee attack at randomly selected createure within reach or does nothing if not possible.
Multiattack: bite + blinding spitle	Makes one bite attack and, if it can, uses  Blinding Spittle
Attack-Bite	+2;5d6;5; piercing damage. If Medium or smaller, it must succeed on DC10 Strength saving throw or  be knocked prone. If the target is killed by this attack, it is absorbed into the mouther.
Blinding Spittle (Recharge 5): range 15' 5'R DC13 dex or blind	The mouther spits a chemical glob at a point it can see within 15 feet of it. The glob explodes in a blinding flash of light on impact. Each creature within 5 feet of the flash must succeed on a DC13 Dexterity saving throw or be blinded until the end of the mouther's next turn.
