[Helmed Horror]
initiativebase	1
initiative	19,35
hits	60
temphits	0
maxhits	60
status	
picturefile	C:\Users\Omistaja\Dropbox\DD5\pics\helmed-horror.jpg
location	
size	5
ac	20 (plate, shield)

speed	
hd	8d8
cr	4
abilities	Str:18;Dex:13;Con:16;Int:10;Wis:10;Cha:10;
STATS	Skills Perception +4\n;Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine\n;Damage Immunities force, necrotic, poison\n;Condition Immunities blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned\n;Senses blindsight 60 ft. (blind beyond this radius), passive Perception 14\n;Languages understands the languages of its creator but can't speak\n;
Magic Resistance	The helmed horror has advantage on saving throws against spells and other magical effects.
Spell Immunity	The helmed horror is immune to three spells chosen by its creator. Typical immunities include fireball, heat metal, and lightning bolt.
Multiattack: 2 x longsword	The helmed horror makes two longsword attacks.
notes	
Attack-Longsword	+6;d8+4;5; slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands.
