[Mane]
initiativebase	-1
initiative	-0,27
hits	9
temphits	0
maxhits	9
status	
picturefile	C:\Users\Omistaja\Dropbox\DD5\pics\mane.jpg
location	
size	5
ac	9
speed	20 ft.
hd	2d6
cr	1/8
abilities	Str:10;Dex:9;Con:13;Int:3;Wis:8;Cha:4;
notes	
STATS	Damage Resistances: cold, fire, lightning\n;Damage Immunities: poison\n;Condition Immunities: charmed, frightened, poisoned\n;Senses: darkvision 60 ft., passive Perception 9\n;Languages: understands Abyssal but can't speak\n;MM p. 60
Attack-Claws	+2;2d4;5; slashing damage
