[Mimic]
initiativebase	1
initiative	12,71
hits	58
temphits	0
maxhits	58
status	
picturefile	C:\Users\Omistaja\Dropbox\DD5\pics\mimic.jpg
location	
size	5
ac	12 (natural armor)
speed	15 ft.
hd	9d8
cr	2
abilities	Str:17;Dex:12;Con:15;Int:5;Wis:13;Cha:8;
Stats	Skills Stealth +5 \n;Damage Immunities: acid Condition Immunities prone  \n;Senses: darkvision 60ft., passive Perception 11\n;Languages: -
Shapechanger	The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.
Adhesive (Object Form Only): DC13	The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 13). Ability checks made to escape this grapple have disadvantage. 
False Appearance (Object Form Only)	 While the mimic remains motionless, it is indistinguishable from an ordinary object.
Grappler: advantage on attacks	The mimic has advantage on attack rolls against any creature grappled by it.
Attack-Pseudopod	+5;d8+3;5; bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait. 
Attack-Bite	+5;d8+3+1d8;5; slashing damage  piercing damage plus 4 (1d8) acid damage.
