[Will-o'-Wisp]
initiativebase	9
initiative	22,32
hits	22
temphits	0
maxhits	22
status	
picturefile	C:\Users\AVACK\Dropbox\DD5\pics\will-o'-wisp.jpg
location	
size	2
ac	19
speed	50 ft. fly (hover)
hd	9d4
cr	2
abilities	Str:1;Dex:28;Con:10;Int:13;Wis:14;Cha:11;
Stats	Damage Immunities: lightnin, poison\n;Damage Resistances: acid, cold, fire, necrotic, thunder; bludgeoning, piercing and slashing from nonmagical weapons.\n;Condition Immunities: exchaustion, grappled, paralyzed, poisoned, prone, restrained, unconscious\n;Senses: darkvision 120 ft., passive Perception 12\n;Languages: the languages it knew in life\n;\n;MM p. 301
Cosume Life	Bonus action: one creature it can see within 5 feet that has 0 hit points but is still alive. Target saves DC10 Con against this magic or die. If target dies, will-o'-wisp regains 3d6 hits.
Invisible	The will-o'-wisp and its light magically become invisible until it attacks or uses its Life Drain or until its concentration ends.
Ephimeral	Can't wear or carry anything.
Incorporeal Movement	Can move through other creatures and objects as if they were difficult terrain. Takes 1d10 damage if ends turn inside an object.
Variable Illumination	Shes bright light in 5- to 20-feet radius and dim light an additional number of feet equal to the chosen radius. Can alter radius as bonus action.
Attack-Shock	+4;2d8;5; lightning damage
