[Wolf]
initiativebase	2
initiative	12,5
hits	11
temphits	0
maxhits	11
status	
picturefile	C:\Documents and Settings\Ville\My Documents\Dropbox\DD5\pics\wolf.jpg
location	
size	5
ac	13 (natural armor)
speed	40
hd	2d8
cr	1/4
abilities	Str:12;Dex:15;Con:12;Int:3;Wis:12;Cha:6;
Stats	Skills Perception +3, Stealth +4\n;Senses passive Perception 13\n;
Attack-Bite	+4;2d4+2;5; piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.
Keen Hearing and Smell	The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.
Pack Tactics	The wolf has advantage on attack rolls against a creature if at least one of the wolf’s allies is within 5 feet of the creature and the ally isn't incapacitated.
